good,dirty,wait,lastyear,usa
0,0,0.99,2,0
0,1,1.81,5,1
1,1,0.66,3,1
0,1,1.81,2,1
1,0,1.32,1,1
1,0,0.82,1,1
1,0,1.32,5,1
1,0,5.34,3,1
0,0,2.22,1,1
0,0,1.32,1,1
1,0,1.07,2,1
0,0,2.22,1,1
0,0,1.07,1,1
1,0,5.59,1,1
0,1,5.34,3,1
0,0,0.66,1,1
1,0,0.82,1,1
0,0,0.82,1,1
0,0,5.59,4,1
0,0,0.82,8,1
0,0,5.34,1,1
0,0,5.34,5,1
0,0,5.67,1,1
1,0,5.34,4,1
0,0,5.34,3,1
1,0,0.82,1,1
1,0,0.91,1,1
0,0,0.91,2,1
1,0,1.41,1,1
1,0,2.29,8,1
0,0,5.26,1,1
1,0,2.29,2,1
1,0,1.16,2,1
1,0,5.59,9,1
1,0,0.66,1,1
1,0,1.16,1,1
0,0,1.16,1,1
1,0,2.07,1,1
1,0,1.16,3,1
1,0,0.66,4,1
0,0,5.59,3,1
0,0,1.66,5,1
1,0,5.42,9,1
1,0,1.89,4,1
1,0,1.24,1,1
0,0,1.24,11,1
1,0,2.74,1,1
1,0,0.99,4,1
0,0,4.19,1,1
0,0,5.51,2,1
0,0,1.51,1,1
1,0,1.92,3,1
1,0,1.51,1,1
1,0,1.51,24,1
1,0,4.41,2,1
0,0,4.21,1,1
1,0,1.07,2,1
1,0,2.81,1,1
0,0,1.59,3,1
1,0,3.54,2,1
0,0,1.92,4,0
1,0,1.24,1,0
0,0,2.36,1,0
0,0,2.36,1,0
1,0,2.36,2,0
1,0,2.16,1,0
1,0,3.19,2,0
1,0,2.74,1,0
0,0,1.51,1,0
0,0,2.16,1,0
1,0,1.92,3,0
0,0,1.92,1,0
0,0,1.92,1,0
1,0,2.36,1,0
0,0,1.32,1,0
0,0,2.36,1,0
0,0,2.36,8,0
1,1,1.51,1,0
0,2,5.14,0,0
0,0,5.51,2,0
0,0,1.92,1,0
0,0,1.16,1,0
0,0,1.16,4,0
0,1,3.16,4,0
0,0,3.06,1,0
0,0,1.51,2,0
1,0,1.66,1,0
1,0,3.44,3,0
1,0,1.66,1,0
0,0,2.86,2,0
1,0,1.17,5,0
1,0,2.86,3,0
0,0,3.62,1,0
1,0,1.66,1,0
1,0,3.82,5,0
0,0,1.59,2,0
1,0,1.66,1,0
0,0,1.16,2,0
1,0,2.07,3,0
0,0,0.99,1,0
0,0,3.06,1,0
0,0,1.89,5,0
0,0,1.41,1,0
1,0,2.44,1,0
1,0,1.59,1,0
1,0,2.44,1,0
1,0,1.07,20,0
1,1,1.99,2,0
1,0,1.99,3,0
1,0,1.59,18,0
0,0,2.22,1,0
1,0,1.59,4,0
0,0,4.34,2,0
1,0,1.41,4,0
1,0,0.74,5,0
0,0,1.07,12,0
1,0,2.22,5,0
0,0,2.22,4,0
1,0,3.09,1,0
0,0,2.09,2,0
0,0,2.44,1,0
1,0,2.66,2,0
1,0,1.99,2,0
1,0,1.99,2,0
0,0,1.07,10,0
0,0,2.07,4,0
0,0,1.07,1,0
1,0,2.29,1,0
1,0,2.29,2,0
1,0,1.41,1,0
0,0,3.51,2,0
1,0,1.89,3,0
1,0,3.06,2,0
0,0,1.89,5,0
0,0,1.41,2,0
0,0,1.41,2,0
1,0,2.07,1,0
0,0,5.67,1,0
0,0,2.71,3,0
0,0,1.89,1,0
1,0,3.27,3,0
0,0,1.89,1,0
0,0,1.89,1,0
0,0,1.41,2,0
1,0,1.41,1,0
1,0,1.41,9,0
0,1,1.41,5,0
